placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,ns,transecto,metragem,recruit,data_morta,ind.resgate,altura,altura_1,dap.06,c.06,mv.06,obs.06,data06,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,cicat.09,recup.09,obs.09,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
25984,,envira_cabo_de_rodo,Guasch,Guatteria,schomburgkiana Mart.,Annonaceae,,0.6,5a10cm,1,A,22,2.5,S,A,261.4,i10,2011,resgate10,,,,,,,,,,,,,,,,,,,7.1,4,v,,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25985,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,5a10cm,1,A,24,1,S,A,288.2,i10,2022,resgate10,6,6,,,,,,,,,,,,,,,,,10.1,5,v,,19_07_2010,9.9,3,v,,17_08_2011,10.4,4,v,,21_06_2012,10.6,5,v,,12_11_2014,10.5,3,v,,11_05_2016,10.5,4,v,alt 6,18_06_2018,,0,m,morta,,08_06_2022,Bate_Ebis_Leo,,0,m,,10_06_2024,
25986,,cipo,unkunk,unknow,unknow,unknow,,,5a10cm,1,A,24,0.9,S,A,297.1,i10,2016,resgate10,,,,,,,,,,,,,,,,,,,5.8,4,v,,19_07_2010,6.1,3,v,,17_08_2011,6.5,3,v,,21_06_2012,5.7,1,v,,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25987,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,5a10cm,1,A,26,0.5,S,A,312.4,i10,2022,resgate10,9.5,9.5,,,,,,,,,,,,,,,,,11.1,4,v,,19_07_2010,11.4,3,v,,17_08_2011,11.6,5,v,,21_06_2012,11.9,5,v,,12_11_2014,12,4,v,,11_05_2016,12.4,3,v,alt 9.5,18_06_2018,,0,m,morta,,08_06_2022,Bate_Ebis_Leo,,0,m,,10_06_2024,
25988,,sardinheira,Casgra,Casearia,grandiflora Camb.,Salicaceae,,0.77,5a10cm,1,A,26,0.6,S,A,317.2,i10,2011,resgate10,,,,,,,,,,,,,,,,,,,9.6,4,v,,19_07_2010,,0,m,morta,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25989,,taquari,Mabfis,Mabea,fistulifera Bth.,Euphorbiaceae,,0.618,5a10cm,1,A,26,1,S,A,318,i10,,resgate10,11.5,11.5,,,,,,,,,,,,,,,,,6.5,4,v,,19_07_2010,7,4,v,,17_08_2011,7.5,4,v,,21_06_2012,8.7,4,v,,12_11_2014,9.6,5,v,,11_05_2016,11,4,v,alt 11.5,18_06_2018,12.1,3,v,,,08_06_2022,Bate_Ebis_Leo,13.5,5,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
25992,,ucuuba_da_terra_firme,Virseb,Virola,sebifera Aubl.,Myristicaeae,,,5a10cm,1,A,26,1,S,A,323.7,i10,2016,resgate10,,,,,,,,,,,,,,,,,,,8.4,5,v,,19_07_2010,8.4,3,v,,17_08_2011,8.7,2,v,,21_06_2012,8.5,1,v,cqcr,12_11_2014,,0,m,morta,11_05_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25993,,urucurana,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,5a10cm,1,A,28,1.6,S,A,335,i10,2022,resgate10,4.5,4.5,,,,,,,,,,,,,,,,,12.8,3,v,,19_07_2010,13,3,v,,17_08_2011,12.8,3,v,,21_06_2012,11.2,3,v,,12_11_2014,11,3,v,,11_05_2016,11.5,2,v,alt 4.5,18_06_2018,,0,m,morta,,08_06_2022,Bate_Ebis_Leo,,0,m,,10_06_2024,
25994,,urucurana,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,5a10cm,1,A,28,1.5,S,A,335.2,i10,2018,resgate10,,,,,,,,,,,,,,,,,,,8.8,3,v,,19_07_2010,9,2,v,,17_08_2011,9.2,3,v,,21_06_2012,9,3,v,,12_11_2014,9.4,2,v,,11_05_2016,,0,m,morta,18_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25995,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,5a10cm,1,A,28,2.1,S,A,339.4,i10,,resgate10,11,11,,,,,,,,,,,,,,,,,8.8,4,v,,19_07_2010,9.1,3,v,,17_08_2011,9.3,5,v,,21_06_2012,11.4,5,v,,12_11_2014,12,5,v,,11_05_2016,12.9,4,v,alt 11,18_06_2018,13.5,2,v,,,08_06_2022,Bate_Ebis_Leo,13.5,3,v,,29_05_2024,Santarem_Darlisson_Bate_Ebis
